Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Mon Jan  7 19:37:07 2019
Invocation: foremost USB_Image(SuNiNaTaS) 
Output directory: /workspace/Wargame_Challenge/SuNiNaTaS/FORENSIC/32/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: USB_Image(SuNiNaTaS)
Start: Mon Jan  7 19:37:07 2019
Length: 931 MB (976944936 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00008207.jpg 	     117 KB 	    4202280 	 
1:	00008447.jpg 	     142 KB 	    4325160 	 
2:	00008735.jpg 	     218 KB 	    4472616 	 
3:	00009175.jpg 	     595 KB 	    4697896 	 
4:	00010367.jpg 	     338 KB 	    5308200 	 
5:	00011047.jpg 	     176 KB 	    5656360 	 
6:	00011639.jpg 	     497 KB 	    5959464 	 
7:	00012639.jpg 	     124 KB 	    6471464 	 
8:	00012903.jpg 	      68 KB 	    6606632 	 
9:	00013047.jpg 	      55 KB 	    6680360 	 
10:	00013159.jpg 	      89 KB 	    6737704 	 
11:	00013343.jpg 	      42 KB 	    6831912 	 
12:	00014287.jpg 	     109 KB 	    7315240 	 
13:	00014511.jpg 	     788 KB 	    7429928 	 
14:	00016359.jpg 	     112 KB 	    8376104 	 
15:	00016695.jpg 	      80 KB 	    8548136 	 
16:	00017183.jpg 	       7 KB 	    8797992 	 
17:	00065567.jpg 	      26 KB 	   33570600 	 
18:	00065623.jpg 	      29 KB 	   33599272 	 
19:	00065687.jpg 	      37 KB 	   33632040 	 
20:	00065767.jpg 	      33 KB 	   33673000 	 
21:	00065839.jpg 	      33 KB 	   33709864 	 
22:	00065911.jpg 	      28 KB 	   33746728 	 
23:	00065975.jpg 	      33 KB 	   33779496 	 
24:	00066047.jpg 	      31 KB 	   33816360 	 
25:	00066111.jpg 	      30 KB 	   33849128 	 
26:	00066175.jpg 	      25 KB 	   33881896 	 
27:	00013431.gif 	      14 KB 	    6876968 	  (550 x 330)
28:	00013639.gif 	      14 KB 	    6983464 	  (180 x 187)
29:	00017375.gif 	       1 KB 	    8896488 	  (177 x 250)
30:	00017587.gif 	       2 KB 	    9004840 	  (177 x 250)
31:	00017367.ole 	       5 KB 	    8892200 	 
32:	00017575.ole 	       5 KB 	    8998696 	 
33:	00068781.dll 	       5 KB 	   35216240 	 10/30/2015 02:46:07
34:	00011407.png 	     114 KB 	    5840680 	  (365 x 138)
